start(time), end(time), dist1(accX), dist2(accY), dist3(accZ), dist4(pitch), dist5(roll), dist6(yaw)
0.050000, 0.300000, 0,0,0,0,0,0
0.350000, 0.600000, 0,0,0,0,0,0
0.650000, 0.900000, 0,0,0,0,0,0
0.950000, 1.200000, 0,0,0,0,0,0
1.250000, 1.500000, 0.003295, -0.080767, 0.006974, 0.001074, 0.003044 , 0.003563
1.550000, 1.800000, 0.027628, 0.005880, 0.007410, -0.005463, -0.002246 , 0.009156
1.850000, 2.100000, 0.024960, 0.018179, 0.007830, -0.000655, -0.001161 , -0.010599
2.150000, 2.400000, 0.014539, 0.065150, 0.006277, -0.003567, -0.004654 , -0.040286
2.450000, 2.700000, 0.011269, 0.018257, 0.007393, 0.001305, -0.004389 , 0.021115
2.750000, 3.000000, 0,0,0,0,0,0
3.050000, 3.300000, 0,0,0,0,0,0
3.350000, 3.600000, 0,0,0,0,0,0
3.650000, 3.900000, 0,0,0,0,0,0
3.950000, 4.200000, 0,0,0,0,0,0
4.250000, 4.500000, 0,0,0,0,0,0
4.550000, 4.800000, 0,0,0,0,0,0
4.850000, 5.100000, 0,0,0,0,0,0
5.150000, 5.400000, 0,0,0,0,0,0
5.450000, 5.700000, 0,0,0,0,0,0
5.750000, 6.000000, 0.008363, 0.013036, 0.007077, 0.002033, -0.003207 , 0.006820
6.050000, 6.300000, -0.006824, 0.057537, 0.007784, -0.000483, 0.002057 , -0.024269
6.350000, 6.600000, -0.011156, 0.023220, 0.006294, -0.007912, -0.005529 , 0.045961
6.650000, 6.900000, 0.005353, 0.006608, 0.006512, 0.003999, 0.002131 , 0.029205
6.950000, 7.200000, -0.002657, -0.111998, 0.007170, 0.002208, -0.010770 , -0.055901
7.250000, 7.500000, 0,0,0,0,0,0
7.550000, 7.800000, 0,0,0,0,0,0
7.850000, 8.100000, 0,0,0,0,0,0
8.150001, 8.400001, 0,0,0,0,0,0
8.450000, 8.700000, 0,0,0,0,0,0
8.750000, 9.000000, 0,0,0,0,0,0
9.050000, 9.300000, 0,0,0,0,0,0
9.350000, 9.600000, 0,0,0,0,0,0
9.650001, 9.900001, 0,0,0,0,0,0
9.950000, 10.200000, 0,0,0,0,0,0
10.250000, 10.500000, 0,0,0,0,0,0
10.550000, 10.800000, -0.004098, 0.003876, 0.006222, -0.001136, 0.001005 , 0.004313
10.850000, 11.100000, -0.047453, 0.004875, 0.007817, -0.004609, 0.001751 , -0.003122
11.150000, 11.400000, -0.009590, 0.005313, 0.006048, 0.004672, -0.006948 , -0.014673
11.450000, 11.700000, 0.029592, -0.007551, 0.007780, -0.003084, -0.007909 , -0.000284
11.750000, 12.000000, 0.068349, 0.011527, 0.006462, -0.000367, -0.002764 , -0.021726
12.050000, 12.300000, 0,0,0,0,0,0
12.350000, 12.600000, 0,0,0,0,0,0
12.650000, 12.900000, 0,0,0,0,0,0
12.950000, 13.200000, 0,0,0,0,0,0
13.250000, 13.500000, 0,0,0,0,0,0
13.550000, 13.800000, 0,0,0,0,0,0
13.850000, 14.100000, 0,0,0,0,0,0
14.150000, 14.400000, 0,0,0,0,0,0
14.450000, 14.700000, 0,0,0,0,0,0
14.750000, 15.000000, 0.057428, 0.001849, 0.009349, -0.001568, 0.003840 , -0.018390
15.050000, 15.300000, 0.012950, -0.021870, 0.007063, -0.002259, 0.013246 , 0.034224
15.350000, 15.600000, 0.022721, -0.001557, 0.008041, -0.004125, 0.000212 , 0.008256
15.650000, 15.900000, -0.007416, -0.012323, 0.007063, -0.002509, -0.010154 , -0.004469
15.950000, 16.200000, -0.013255, -0.000372, 0.008064, 0.001630, 0.001763 , 0.001936
16.250000, 16.500000, 0.021238, -0.005306, 0.005867, 0.000931, -0.004959 , -0.002813
16.550000, 16.800000, 0,0,0,0,0,0
16.850000, 17.100000, 0,0,0,0,0,0
17.150000, 17.400000, 0,0,0,0,0,0
17.450000, 17.700000, 0,0,0,0,0,0
17.750000, 18.000000, 0,0,0,0,0,0
18.050000, 18.300000, 0,0,0,0,0,0
18.350000, 18.600000, 0,0,0,0,0,0
18.650000, 18.900000, 0,0,0,0,0,0
18.950000, 19.200000, 0,0,0,0,0,0
19.250000, 19.500000, 0.000648, 0.003457, -0.029006, -0.014754, 0.008993 , -0.025002
19.550000, 19.800000, 0.013105, -0.025894, -0.118408, 0.032340, 0.036053 , 0.037570
19.850000, 20.100000, 0.093559, 0.015648, 0.079385, 0.085903, 0.100881 , -0.059999
20.150000, 20.400000, 0.070968, -0.078380, 0.104461, 0.029160, -0.055655 , -0.005451
20.450000, 20.700000, 0,0,0,0,0,0
20.750000, 21.000000, 0,0,0,0,0,0
21.050000, 21.300000, 0,0,0,0,0,0
21.350000, 21.600000, 0,0,0,0,0,0
21.650000, 21.900000, 0,0,0,0,0,0
21.950000, 22.200000, 0,0,0,0,0,0
22.250000, 22.500000, 0,0,0,0,0,0
