Threshold,TP,FP,TN,FN,TPR,FPR,PPV
0,147,193,918,4,0.973510,0.173717,0.567647
1,147,193,918,4,0.973510,0.173717,0.567647
2,147,193,918,4,0.973510,0.173717,0.567647
3,147,193,918,4,0.973510,0.173717,0.567647
4,147,193,918,4,0.973510,0.173717,0.567647
5,147,193,918,4,0.973510,0.173717,0.567647
6,147,193,918,4,0.973510,0.173717,0.567647
7,147,193,918,4,0.973510,0.173717,0.567647
8,147,193,918,4,0.973510,0.173717,0.567647
9,147,193,918,4,0.973510,0.173717,0.567647
10,147,193,918,4,0.973510,0.173717,0.567647
11,147,193,918,4,0.973510,0.173717,0.567647
12,147,193,918,4,0.973510,0.173717,0.567647
13,147,193,918,4,0.973510,0.173717,0.567647
14,147,193,918,4,0.973510,0.173717,0.567647
15,147,193,918,4,0.973510,0.173717,0.567647
16,147,193,918,4,0.973510,0.173717,0.567647
17,147,193,918,4,0.973510,0.173717,0.567647
18,147,193,918,4,0.973510,0.173717,0.567647
19,147,193,918,4,0.973510,0.173717,0.567647
20,147,193,918,4,0.973510,0.173717,0.567647
21,147,193,918,4,0.973510,0.173717,0.567647
22,147,193,918,4,0.973510,0.173717,0.567647
23,147,193,918,4,0.973510,0.173717,0.567647
24,147,193,918,4,0.973510,0.173717,0.567647
25,147,193,918,4,0.973510,0.173717,0.567647
26,147,193,918,4,0.973510,0.173717,0.567647
27,147,193,918,4,0.973510,0.173717,0.567647
28,147,193,918,4,0.973510,0.173717,0.567647
29,147,193,918,4,0.973510,0.173717,0.567647
30,147,193,918,4,0.973510,0.173717,0.567647
31,147,193,918,4,0.973510,0.173717,0.567647
32,147,193,918,4,0.973510,0.173717,0.567647
33,147,193,918,4,0.973510,0.173717,0.567647
34,147,193,918,4,0.973510,0.173717,0.567647
35,147,193,918,4,0.973510,0.173717,0.567647
36,147,193,918,4,0.973510,0.173717,0.567647
37,147,193,918,4,0.973510,0.173717,0.567647
38,147,193,918,4,0.973510,0.173717,0.567647
39,147,193,918,4,0.973510,0.173717,0.567647
40,147,193,918,4,0.973510,0.173717,0.567647
41,147,193,918,4,0.973510,0.173717,0.567647
42,147,193,918,4,0.973510,0.173717,0.567647
43,147,193,918,4,0.973510,0.173717,0.567647
44,147,193,918,4,0.973510,0.173717,0.567647
45,147,193,918,4,0.973510,0.173717,0.567647
46,147,193,918,4,0.973510,0.173717,0.567647
47,147,193,918,4,0.973510,0.173717,0.567647
48,147,193,918,4,0.973510,0.173717,0.567647
49,147,193,918,4,0.973510,0.173717,0.567647
50,147,193,918,4,0.973510,0.173717,0.567647
51,147,193,918,4,0.973510,0.173717,0.567647
52,147,193,918,4,0.973510,0.173717,0.567647
53,147,193,918,4,0.973510,0.173717,0.567647
54,147,193,918,4,0.973510,0.173717,0.567647
55,147,193,918,4,0.973510,0.173717,0.567647
56,147,193,918,4,0.973510,0.173717,0.567647
57,147,193,918,4,0.973510,0.173717,0.567647
58,147,193,918,4,0.973510,0.173717,0.567647
59,147,193,918,4,0.973510,0.173717,0.567647
60,147,193,918,4,0.973510,0.173717,0.567647
61,147,193,918,4,0.973510,0.173717,0.567647
62,147,193,918,4,0.973510,0.173717,0.567647
63,147,193,918,4,0.973510,0.173717,0.567647
64,147,193,918,4,0.973510,0.173717,0.567647
65,147,193,918,4,0.973510,0.173717,0.567647
66,147,193,918,4,0.973510,0.173717,0.567647
67,147,193,918,4,0.973510,0.173717,0.567647
68,147,193,918,4,0.973510,0.173717,0.567647
69,147,193,918,4,0.973510,0.173717,0.567647
70,147,193,918,4,0.973510,0.173717,0.567647
71,147,193,918,4,0.973510,0.173717,0.567647
72,147,193,918,4,0.973510,0.173717,0.567647
73,147,193,918,4,0.973510,0.173717,0.567647
74,147,193,918,4,0.973510,0.173717,0.567647
75,147,193,918,4,0.973510,0.173717,0.567647
76,147,193,918,4,0.973510,0.173717,0.567647
77,147,193,918,4,0.973510,0.173717,0.567647
78,147,193,918,4,0.973510,0.173717,0.567647
79,147,193,918,4,0.973510,0.173717,0.567647
80,147,193,918,4,0.973510,0.173717,0.567647
81,147,193,918,4,0.973510,0.173717,0.567647
82,147,193,918,4,0.973510,0.173717,0.567647
83,147,193,918,4,0.973510,0.173717,0.567647
84,147,193,918,4,0.973510,0.173717,0.567647
85,147,193,918,4,0.973510,0.173717,0.567647
86,147,193,918,4,0.973510,0.173717,0.567647
87,147,193,918,4,0.973510,0.173717,0.567647
88,147,193,918,4,0.973510,0.173717,0.567647
89,147,193,918,4,0.973510,0.173717,0.567647
90,147,193,918,4,0.973510,0.173717,0.567647
91,147,193,918,4,0.973510,0.173717,0.567647
92,147,193,918,4,0.973510,0.173717,0.567647
93,147,193,918,4,0.973510,0.173717,0.567647
94,147,193,918,4,0.973510,0.173717,0.567647
95,147,193,918,4,0.973510,0.173717,0.567647
96,147,193,918,4,0.973510,0.173717,0.567647
97,147,193,918,4,0.973510,0.173717,0.567647
98,147,193,918,4,0.973510,0.173717,0.567647
99,147,193,918,4,0.973510,0.173717,0.567647
100,147,193,918,4,0.973510,0.173717,0.567647
101,147,193,918,4,0.973510,0.173717,0.567647
102,147,193,918,4,0.973510,0.173717,0.567647
103,147,193,918,4,0.973510,0.173717,0.567647
104,147,193,918,4,0.973510,0.173717,0.567647
105,147,193,918,4,0.973510,0.173717,0.567647
106,147,193,918,4,0.973510,0.173717,0.567647
107,147,193,918,4,0.973510,0.173717,0.567647
108,147,193,918,4,0.973510,0.173717,0.567647
109,147,193,918,4,0.973510,0.173717,0.567647
110,147,193,918,4,0.973510,0.173717,0.567647
111,147,193,918,4,0.973510,0.173717,0.567647
112,147,193,918,4,0.973510,0.173717,0.567647
113,147,193,918,4,0.973510,0.173717,0.567647
114,147,193,918,4,0.973510,0.173717,0.567647
115,147,193,918,4,0.973510,0.173717,0.567647
116,147,193,918,4,0.973510,0.173717,0.567647
117,147,193,918,4,0.973510,0.173717,0.567647
118,147,193,918,4,0.973510,0.173717,0.567647
119,147,193,918,4,0.973510,0.173717,0.567647
120,147,193,918,4,0.973510,0.173717,0.567647
121,147,193,918,4,0.973510,0.173717,0.567647
122,147,193,918,4,0.973510,0.173717,0.567647
123,147,193,918,4,0.973510,0.173717,0.567647
124,147,193,918,4,0.973510,0.173717,0.567647
125,147,193,918,4,0.973510,0.173717,0.567647
126,147,193,918,4,0.973510,0.173717,0.567647
127,147,193,918,4,0.973510,0.173717,0.567647
128,147,193,918,4,0.973510,0.173717,0.567647
129,147,193,918,4,0.973510,0.173717,0.567647
130,147,193,918,4,0.973510,0.173717,0.567647
131,147,193,918,4,0.973510,0.173717,0.567647
132,147,193,918,4,0.973510,0.173717,0.567647
133,147,193,918,4,0.973510,0.173717,0.567647
134,147,193,918,4,0.973510,0.173717,0.567647
135,147,193,918,4,0.973510,0.173717,0.567647
